군구,사업수,예산_원,지출_원,청년인구,사업수_1만명당,예산_1인당_원,집행률
강화군,13,2155624000,1980995451,9267.0,14.03,232613.0,0.919
옹진군,11,313836000,156096600,4177.0,26.33,75134.0,0.497
미추홀구,12,4854475580,1931987994,118948.0,1.01,40812.0,0.398
남동구,15,4227999240,1644710450,125453.0,1.2,33702.0,0.389
부평구,9,3436650900,1967396434,137912.0,0.65,24919.0,0.572
계양구,13,1631800000,1007094921,72791.0,1.79,22418.0,0.617
연수구,9,2267814000,1134717860,116898.0,0.77,19400.0,0.5
검단구,7,387420000,47600160,,,,0.123
서해구,21,2694406000,1655896110,,,,0.615
영종구,12,877853000,360848140,,,,0.411
제물포구,11,1194250000,526998430,,,,0.441
